ic,rab,rba,rbc,t,y1,y2,y3
1,1,0.1,0.1,0.1,10,0.514036661560051,0.272608937780539,0.2133544006594
2,2,0.1,0.1,0.6,10,0.421612587989427,0.068292492573064,0.510094919437508
3,3,0.1,0.1,1.1,10,0.399345753837847,0.0360084779069969,0.564645768255158
4,4,0.1,0.1,1.6,10,0.389999123908219,0.0242804648710696,0.585720411220712
5,5,0.1,0.1,2.1,10,0.384910958007215,0.0182877180866662,0.596801323906117
6,6,0.1,0.6,0.1,10,0.781503434196533,0.113651161156197,0.104845404647275
7,7,0.1,0.6,0.6,10,0.592493454433238,0.0514278473617735,0.35607869820499
8,8,0.1,0.6,1.1,10,0.519155489200309,0.0317204215958512,0.449124089203841
9,9,0.1,0.6,1.6,10,0.481316098989757,0.022616187254308,0.496067713755937
10,10,0.1,0.6,2.1,10,0.458439371630611,0.0174785019130492,0.524082126456328
11,11,0.1,1.1,0.1,10,0.859057759773625,0.0720525845096721,0.0688896557167035
12,12,0.1,1.1,0.6,10,0.684811737803057,0.0411045182658739,0.274083743931069
13,13,0.1,1.1,1.1,10,0.599214523087386,0.0278557276230403,0.372929749289572
14,14,0.1,1.1,1.6,10,0.549233057099689,0.020791360426645,0.42997558247367
15,15,0.1,1.1,2.1,10,0.516715941981504,0.0164817111438072,0.466802346874698
16,16,0.1,1.6,0.1,10,0.895871088626441,0.0528716180480731,0.0512572933254858
17,17,0.1,1.6,0.6,10,0.742893859245796,0.0341778779422501,0.222928262811956
18,18,0.1,1.6,1.1,10,0.656463563080807,0.0246777170782422,0.318858719840951
19,19,0.1,1.6,1.6,10,0.601590749515172,0.0190933847253006,0.379315865759529
20,20,0.1,1.6,2.1,10,0.563893989694726,0.0154749749922812,0.420631035312993
21,21,0.1,2.1,0.1,10,0.917411246243517,0.041783243458445,0.0408055102980385
22,22,0.1,2.1,0.6,10,0.78285800232276,0.0292285161802063,0.187913481497038
23,23,0.1,2.1,1.1,10,0.699422600553826,0.022089426862313,0.278487972583862
24,24,0.1,2.1,1.6,10,0.643134524642474,0.0175843888132118,0.339281086544315
25,25,0.1,2.1,2.1,10,0.602803129418907,0.0145232938190281,0.382673576762066
26,26,0.6,0.1,0.1,10,0.0801501251180342,0.409754955444554,0.510094919437408
27,27,0.6,0.1,0.6,10,0.0110387471011002,0.0218306746313957,0.967130578267504
28,28,0.6,0.1,1.1,10,0.00526572857195776,0.00459465287380145,0.990139618554237
29,29,0.6,0.1,1.6,10,0.00399218935742807,0.00207910858806529,0.993928702054505
30,30,0.6,0.1,2.1,10,0.00349804204399116,0.00128238307062403,0.995219574885384
31,31,0.6,0.6,0.1,10,0.335354217624078,0.308567084170781,0.35607869820514
32,32,0.6,0.6,0.6,10,0.0731456491445734,0.0452064041842153,0.881647946671208
33,33,0.6,0.6,1.1,10,0.0290862074765013,0.0127950712904088,0.958118721233091
34,34,0.6,0.6,1.6,10,0.0164840747862672,0.00549469158283864,0.978021233630895
35,35,0.6,0.6,2.1,10,0.0113929324392915,0.00302555768976839,0.985581509870942
36,36,0.6,1.1,0.1,10,0.47928914647366,0.246627109595235,0.274083743931105
37,37,0.6,1.1,0.6,10,0.144083721266253,0.0564639009307338,0.799452377803015
38,38,0.6,1.1,1.1,10,0.0633046387228941,0.0195769839864969,0.917118377290619
39,39,0.6,1.1,1.6,10,0.0356321258373776,0.00899198737974184,0.955375886782886
40,40,0.6,1.1,2.1,10,0.0235337631786184,0.00498425788627786,0.971481978935104
41,41,0.6,1.6,0.1,10,0.572004469531903,0.205067267652553,0.222928262815549
42,42,0.6,1.6,0.6,10,0.211410994752792,0.0614295690780103,0.727159436169199
43,43,0.6,1.6,1.1,10,0.101981035258578,0.0246118902680651,0.873407074473356
44,44,0.6,1.6,1.6,10,0.0591708006444168,0.0121256524900389,0.928703546865559
45,45,0.6,1.6,2.1,10,0.0390311443656669,0.00692100452144279,0.954047851112894
46,46,0.6,2.1,0.1,10,0.636715421423432,0.175371097081707,0.187913481494857
47,47,0.6,2.1,0.6,10,0.271969364103832,0.0630765096496025,0.664954126246564
48,48,0.6,2.1,1.1,10,0.141700675841367,0.0281752498146105,0.830124074344021
49,49,0.6,2.1,1.6,10,0.0852468131528639,0.0147666121382768,0.899986574708864
50,50,0.6,2.1,2.1,10,0.0569515698074058,0.00871414189370316,0.934334288298901
51,51,1.1,0.1,0.1,10,0.0392609747667888,0.396093256975738,0.564645768257476
52,52,1.1,0.1,0.6,10,0.00143685117698626,0.00842353026788902,0.990139618555124
53,53,1.1,0.1,1.1,10,0.000166721186741621,0.000474829049870359,0.999358449763388
54,54,1.1,0.1,1.6,10,6.08151975133828e-05,8.95142558484163e-05,0.999849670546636
55,55,1.1,0.1,2.1,10,3.90011614340318e-05,3.59830045466146e-05,0.999925015834021
56,56,1.1,0.6,0.1,10,0.201951273336193,0.348924637716999,0.449124088946806
57,57,1.1,0.6,0.6,10,0.0184236480721084,0.0234576307045375,0.958118721223364
58,58,1.1,0.6,1.1,10,0.00322942481277351,0.00304656067009381,0.993724014517135
59,59,1.1,0.6,1.6,10,0.000970828456277138,0.000697493066573213,0.99833167847715
60,60,1.1,0.6,2.1,10,0.00042654329252926,0.000241832576396711,0.999331624131072
61,61,1.1,1.1,0.1,10,0.320657246879342,0.306413003874807,0.372929749245848
62,62,1.1,1.1,0.6,10,0.0469904854874426,0.0358911373747447,0.917118377137815
63,63,1.1,1.1,1.1,10,0.0108332707084055,0.00669532950693091,0.982471399784666
64,64,1.1,1.1,1.6,10,0.00359183092431156,0.00182904863589603,0.994579120439792
65,65,1.1,1.1,2.1,10,0.00156287084176058,0.000668753331945962,0.99776837582629
